2020-12-13 16:17:00,281 : INFO : Video Imported: C:\Users\Mahe\Documents\important\college\internships\genzellab\projects\hm_tracking\vids\stitched.mp4
2020-12-13 16:17:36,780 : INFO : Recording Trial 1
2020-12-13 16:17:51,826 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:51,927 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:52,068 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:52,199 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:52,331 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:52,472 : INFO : The rat position is: (129, 387) @ 420
2020-12-13 16:17:52,593 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:52,715 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:52,826 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:52,937 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,069 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,200 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,332 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,443 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,582 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,695 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,816 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:53,966 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,099 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,238 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,372 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,503 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,642 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,776 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:54,897 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,036 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,169 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,298 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,440 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,563 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,684 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,825 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:55,956 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:56,937 : INFO : Recording Trial 2
2020-12-13 16:17:57,088 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,207 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,298 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,390 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,491 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,594 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,705 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,806 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,905 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:57,990 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:58,099 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:58,189 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:58,290 : INFO : The rat position is: (137, 385) @ 420
2020-12-13 16:17:58,381 : INFO : The rat position is: (481, 68) @ 313
2020-12-13 16:17:58,502 : INFO : The rat position is: (482, 71) @ 313
2020-12-13 16:17:58,601 : INFO : The rat position is: (473, 76) @ 313
2020-12-13 16:17:58,694 : INFO : The rat position is: (474, 78) @ 313
2020-12-13 16:17:58,805 : INFO : The rat position is: (470, 81) @ 313
2020-12-13 16:17:58,906 : INFO : The rat position is: (464, 87) @ 313
2020-12-13 16:17:59,015 : INFO : The rat position is: (459, 92) @ 313
